CycloneName,DateTime,Type,Latitude,Longitude,Maximum Wind
Tropical Cyclone Herman,2023-03-29T00:00:00Z,Point,-13.3,100.4,35.0
Tropical Cyclone Herman,2023-03-29T06:00:00Z,Point,-13.7,101,40.0
Tropical Cyclone Herman,2023-03-29T12:00:00Z,Point,-14,102.2,45.0
Tropical Cyclone Herman,2023-03-29T18:00:00Z,Point,-14.4,103,55.0
Tropical Cyclone Herman,2023-03-30T00:00:00Z,Point,-14.9,104,55.0
Tropical Cyclone Herman,2023-03-30T06:00:00Z,Point,-15.4,104.8,60.0
Tropical Cyclone Herman,2023-03-30T12:00:00Z,Point,-15.7,105.4,55.0
Tropical Cyclone Herman,2023-03-30T18:00:00Z,Point,-16.3,105.8,95.0
Tropical Cyclone Herman,2023-03-31T00:00:00Z,Point,-16.7,106.2,100.0
Tropical Cyclone Herman,2023-03-31T06:00:00Z,Point,-17.4,106.4,110.0
Tropical Cyclone Herman,2023-03-31T12:00:00Z,Point,-17.8,106.7,110.0
Tropical Cyclone Herman,2023-03-31T18:00:00Z,Point,-18.2,106.9,110.0
Tropical Cyclone Herman,2023-04-01T00:00:00Z,Point,-18.6,107.1,105.0
Tropical Cyclone Herman,2023-04-01T06:00:00Z,Point,-19.1,106.9,80.0
Tropical Cyclone Herman,2023-04-01T12:00:00Z,Point,-19.6,106.9,75.0
Tropical Cyclone Herman,2023-04-01T18:00:00Z,Point,-19.8,106.8,70.0
Tropical Cyclone Herman,2023-04-02T00:00:00Z,Point,-19.8,106.7,65.0
Tropical Cyclone Herman,2023-04-02T06:00:00Z,Point,-19.8,105.6,35.0
